"country_name";"iso_alpha3_code";"iso_alpha2_code";"m49_code"
"Former Czechoslovakia";"CSK";"CS";"200"
"Former Ethiopia";"ETH";"ET";"231"
"Former Netherlands Antilles";"ANT";"AN";"530"
"Former Sudan";"SDN";"SD";"729"
"Former USSR";"SUN";"SU";"810"
"Former Yugoslavia";"YUG";"YU";"891"
"Kosovo";"XKX";"XK";
"Namibia";"NAM";"NA";"516"
"United Republic of Tanzania: Mainland";"TZA";"TZ";"834"
"United Republic of Tanzania: Zanzibar";"TZA";"TZ";"834"
"Yemen: Former Democratic Yemen";"YMD";"YD";"720"
"Yemen: Former Yemen Arab Republic";"YEM";"YE";"887"